architecture,energy_per_encoded_bit,energy_per_operation,experiment_id,frequency_hz,functional_failure_reasons,functional_pass,input_pattern,level,load_ff,model,output_swing,pavg,pdp,raw_log,simulation_file,status,temp,temperature_c,tfall,tnom,tpd,tphl,tplh,transistor_count,trise,validation_errors,vdd,voh,vol
HYBRID_A,,,EXP-XOR-HYBRID_A-VDD10,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.01092914166279,1.46066044777e-06,1.0492379731323551e-16,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-VDD10.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-VDD10.cir,Validated,27.0,27.0,9.51835000023e-11,27.0,7.183312006114999e-11,6.89757654479e-11,7.46904746744e-11,10,1.30426182811e-10,[],1.0,1.00663852692,-0.00429061474279
HYBRID_A,,,EXP-XOR-HYBRID_A-TM20,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.20943421894039,2.12046111493e-06,1.0469516203773879e-16,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-TM20.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-TM20.cir,Validated,-20.0,-20.0,7.59294970553e-11,27.0,4.93737712522e-11,5.32675554716e-11,4.54799870328e-11,10,7.03209707167e-11,[],1.2,1.20607697964,-0.00335723930039
HYBRID_A,,,EXP-XOR-HYBRID_A-T85,125000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.2100168308233,2.21004676286e-06,1.788245167652207e-16,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-T85.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-T85.cir,Validated,85.0,85.0,1.03307927282e-10,27.0,8.091435881375e-11,7.17601702996e-11,9.00685473279e-11,10,1.76753791841e-10,[],1.2,1.20608639717,-0.0039304336533
HYBRID_A,,,EXP-XOR-HYBRID_A-L01,125000000.0,[],True,two-input exhaustive periodic,XOR,1.0,PTM-65nm-beta-2006,1.2442295216071,5.19623370591e-07,1.0822343082269722e-17,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-L01.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-L01.cir,Validated,27.0,27.0,1.25182256976e-11,27.0,2.0827283172349998e-11,2.13461002424e-11,2.03084661023e-11,10,1.55561962645e-11,[],1.2,1.23061215878,-0.0136173628271
HYBRID_A,,,EXP-XOR-HYBRID_A-L05,125000000.0,[],True,two-input exhaustive periodic,XOR,5.0,PTM-65nm-beta-2006,1.21747209922845,1.24417671569e-06,4.8289468793031914e-17,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-L05.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-L05.cir,Validated,27.0,27.0,4.43781789112e-11,27.0,3.8812387488100003e-11,3.87184315226e-11,3.89063434536e-11,10,5.69915169945e-11,[],1.2,1.21113634109,-0.00633575813845
HYBRID_A,,,EXP-XOR-HYBRID_A-L20,125000000.0,[],True,two-input exhaustive periodic,XOR,20.0,PTM-65nm-beta-2006,1.2051448660206798,3.9461582233e-06,4.1626777303332915e-16,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-L20.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-L20.cir,Validated,27.0,27.0,1.6769840634e-10,27.0,1.0548684302e-10,1.02568849971e-10,1.08404836069e-10,10,2.16091483268e-10,[],1.2,1.20320558548,-0.00193928054068
HYBRID_A,,,EXP-XOR-HYBRID_A-F025,25000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.2097634691787,4.72733108908e-07,2.8860123728751266e-17,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-F025.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-F025.cir,Validated,27.0,27.0,8.53386094579e-11,27.0,6.104950803089999e-11,6.00194261006e-11,6.20795899612e-11,10,1.09951563338e-10,[],1.2,1.20612418652,-0.0036392826587
HYBRID_A,,,EXP-XOR-HYBRID_A-F200,200000000.0,[],True,two-input exhaustive periodic,XOR,10.0,PTM-65nm-beta-2006,1.20976347523229,3.40026566629e-06,2.0758454610136486e-16,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-F200.log,ltspice/xor/hybrid-a/EXP-XOR-HYBRID_A-F200.cir,Validated,27.0,27.0,8.53386083041e-11,27.0,6.104950803089999e-11,6.00194261006e-11,6.20795899612e-11,10,1.09951563919e-10,[],1.2,1.20612418652,-0.00363928871229
CMOS,8.78580117789091e-15,9.66438129568e-14,EXP-H117-CMOS-NOM,125000000.0,[],True,common 16-cycle binary-count activity sample; exhaustive correctness is verified in Python,H117,10.0,PTM-65nm-beta-2006,1.2077002902526,1.20804766196e-05,1.981789819133965e-15,ltspice/hamming-11-7/EXP-H117-CMOS-NOM.log,ltspice/hamming-11-7/EXP-H117-CMOS-NOM.cir,Validated,27.0,27.0,,27.0,1.64048976008e-10,1.43697205086e-10,1.8440074693e-10,144,,[],1.2,1.20544409752,-0.0022561927326
GDI,5.640736693519999e-16,6.2048103628719995e-15,EXP-H117-GDI-NOM,125000000.0,"[""delay_exceeds_half_period""]",False,common 16-cycle binary-count activity sample; exhaustive correctness is verified in Python,H117,10.0,PTM-65nm-beta-2006,1.2043276983303,7.75601295359e-07,1.2479261996806875e-14,ltspice/hamming-11-7/EXP-H117-GDI-NOM.log,ltspice/hamming-11-7/EXP-H117-GDI-NOM.cir,Validated,27.0,27.0,,27.0,1.608979003965e-08,1.60996611775e-08,1.60799189018e-08,48,,[],1.2,1.20246875286,-0.0018589454703
